sentence,translation
バレー部員とか、生傷だらけなんだろ？ どんな練習してんだよ…こえーよ。,Volleyball club members are all covered in fresh bruises. What kind of training they go through? It's scary.
絶対、体罰の証人みつけてやる。 待ってろよ、あのクソ教師。,We'll find the witness of corporal punishment no matter what. Just you wait, you shitty teacher.
手分けしよう,Let's split into groups
杏のクラス転校生、 ひどい言われようだね…,The transfer student from your class,An, I was told that he's horrible.
断られた,They turned me down
放課後,After school
…たまたま、知り合ったんだよ。,We got to know each other by accident
一応、忠告…それだけ。,I warn you...just in case. That's it.
口止めされてんのか？,Were you told to keep quiet?
今日は、ちょっと具合が悪くて…,My condition is bad today (I feel bad)
…私の親友もね、見た目だけで いろいろ誤解される子でね…,My best friend is often getting misunderstood. And that's all because of her looks
パレスを消すってのは、 要は「改心」させるってことだ。,Basically, palace disappearing means that he'll be reformed (as a human) as well
それに耐えられなくなって、 鴨志田は自分から「罪」を告白しちまうはずだ！,He won't be able to bear this and Kamoshida will confess due to his crime(sin)!
ついてこないで… 放っといてってば！,Don't follow me...Leave me alone!
鴨志田を説得する方法、考えてみるから。,I'll think of the way to persuade Kamoshida.
不良に絡まれた。,Got involved into bad stuff
下手したら鴨志田は 死んだも同然になるんだろ？,(Do you understand that)If it goes bad, Kamoshida will be as good as dead?
改心すれば体罰はなくなるだろう。 しかしその代償は大きすぎる…,If we reform him, corporal punishment(in school) will probably cease to exist. But the cost is too much...
授業に集中しろ,Concentrate on the lesson.
俺や鈴井だけじゃない、他の部員も。。。 先生、機嫌が悪い「ご指名」で…殴るんだ,It wasn't only me or Suzui, other club members as well... Sensei was in the bad mood. He called ...and then started hitting us
意識不明で回復絶望的… そんなやつが何を訴えるって！？,She is senseless and hopeless for recovery... How would a girl in that condition take someone to court !?
また、それかよ なら、もう一度「正当防衛」が必要だな？,Again with that. In that case the legitimate self defence is necessary again, huh?
挑発に乗るな,Don't fall for his provocation
三島、一緒に脅迫して来たお前も同罪だからな。,Mishima. We blackmailed her together, you're just as guilty.
お前の将来、俺に奪われて終わりってわけ。 …分かったらとっとと出てけ。,Your future has been stolen(by me) and is now over. ...If you understood that, go our already.
ぶっ飛ばすんじゃなくて、 歪んだ欲望を奪うんだよ。,It isn't about beating him. It's about robbing him of his distorted lust.
そういやさ、パレスを消滅って、 やっぱ大変なのか…？,Oh, and isn't palace disappering kinda bad?
ジョーカー？あだ名か？,Joker? Is that a nickname?
ばか！見ろ、あの兵士の数。 自殺行為だ。前ので懲りただろ。,You fool! Look, the number of soldiers there. It's suicide. Didn't we learn this lesson already?
俺様に意見してるぞ？ どう思う？,She is scolding me, what do you think?
どうやって遊ぼうかな？ バラバラに解体しちゃおっか？,How will we play with you? Maybe dissect you to pieces?
あ、噓。 やっぱまだ混乱してる。,Ah, no, I lied. I'm totally confused.
私、猫と喋れてるんだね。 すごく、不思議な感じ…,I can talk with a cat. It's pretty strange feeling...
足手まといみたいに言わないで。 見たでしょ？　私だって戦える。,Don't tell me that I'm gonna be a burden or something. You saw, right? That I can fight.
周りの目を欺く演技、 それに長ける者がいてもおかしくはないわ…,An act deceiving eyes that surround you. If a person excelling in that was with you, it wouldn't have been strange at all...
友達思いで、おまけに美人…なんて子なんだ。 わがはい、すっかり心を奪われちまったぜ…,She's thinking about her friend and she's a beauty besides that. What a girl. My heart was stolen completely...
パレスの中じゃ連絡とれないからな。 わがはい、こっちに残ってやるよ。,Because I can't contact you (while I'm)inside the palace, I'm going to stay on this side.
じゃあ、わがはいの滞在場所を確認しに行くぞ。,Well, let's go see a place of my stay(go to confirm the place of my stay)
近所に診療所あっただろ？ そこの医者なんだがな…,Do you know of the clinic in the neighborhood? She's a doctor there...
適当な診察して 聞いたことねえ薬を出すって噂だ。,She does a proper medical examination. But I also heard rumors that she gives out forbidden meds
なんで拾って来たんだ…！？,Why did you (pick up and) bring it(cat) here?
うちは飲食店だぞ。 動物はねーだろ…,This place is a restaraunt. Animals are a no go...
けど、世話する生きもんが居りゃ、 大人しくしてるかも知れない、か…,But, if you'll have a living creature to take care of, you can probably learn to keep quiet, huh...
お前、皿洗っとけよ。,Wash the plate after.
まあ、鴨志田の牢獄に比べれば天国か。,If you compare this to Kamoshida's prison cell, this is heaven.
お世話するのと引き換えに、 わがはいの潜入道具だ。,Taking care of me in exchange for my infiltration tools.
モルガナは、なんだか嬉しそうだ…,Morgana looks a little happy...
あらゆる場所への巧妙な潜入と脱出…,The skillfull infiltration and escape(you did) in each and every place...
得体の知れない重圧を感じる。,I feel unfamiliar heavy pressure.
お医者さんがちゃんと処方した薬なら きっと治るって！,When the doctor will give you a proper medical prescription, you'll get better for sure!
放課後はアジトに集合で いいんだよな？,We'll meet in the hideout after school. Is that ok?
やれやれ… 完璧に避けるにはもっと器用さが必要だな。,Good grief... In order to avoid that perfectly, more dexterity is necessary.
まずは貧弱な装備を どうにかしないといけないだろうな。,First of all our weak equipment. If we don't do something about it one way or another, we won't go.
あとはパレスで消耗した時のために クスリを調達しておくか…,And moving on, we'll need the supply of medicals ahead of time, because we'll get exhausted in the Palace.
そんな怪しい噂が立つ医者なら 相談に乗ってくれんじゃないかってな。,If such suspicious rumors are out, we'll be able to go and demand an explanation from the doctor herself.
それより本題に入らないの？,Leaving that aside, why don't we go to the main topic?
貴方、健康でしょ。 それが見抜けないほどバカじゃない。,You're healthy, aren't you? I'm not that stupid to let something like that slip
体調を崩しても自己責任。 それでよければ、いつでもどうぞ。,If your physical condition gets bad, it's your own responsibility. If this is acceptable, you're welcome anytime
ま、どうでもいい。 貴方が面倒を起こさない間は…ね。,Well, it's all the same to me. As long as you're not causing trouble...
仕事は無い、保障は無い、蓄えも出来ない…,(People today have)No job, no guarantees, not able to get some savings...
ああ…なんだ？ 暇なら皿の一枚でも洗え。,What? If you're not busy, go wash at least one plate...
これでひとまず、パレスに行く準備は整ったな。,Now for the time being the preparations for going to the palace are in order.
その机だ 早く片付けてくれ。,This is the desk. Tidy things up here quickly.
今回はわがはいが材料を提供してやる。 キーピックを作ってみろ。,This time I will provide you with materials. Let's try to make a Lockpick.
難しく考えるな。 習うより慣れるだ。,Don't think that it's difficult. You'll get used to it once you take some lessons(under me).
最初はみんな不器用なんだ。 うまくいかなくても落ち込むなよ？,Everyone is clumsy at first. You won't get good if you don't fail, right?
みんな分かってるんだろうな？ 期限は5月2日だぞ？,Everyone understands, right? The deadline is May 2nd.
お宝ってのは、 パレス主の歪んだ欲望の象徴.,The treasure is the symbol of master's distorted lust.
まあ、そういうことだ。 実際に行かないと分からないことも多いしな…,Well, it's something like that. I still don't know how a lot of stuff works in actuality before we go.
イゴールと関係が 深まっているのを感じる,I feel that my connection with Igor has grown deeper
仲間たちからは、 ただ立っていたように見えたようだ…,It seems that from your friends’ point of view you were just standing there
ま、簡単に言えば シャドウに見つからない安全地帯ってこと,Well, to put it simply, it's a safe area where shadows cannot find us.
休憩と相談か…そうだね。,(So this is a place for)Taking a break and discussing stuff. So that's how it is.
そうだな、長話してる余裕はねえ,That's right. We don't have (any room)time for long talks like that
うむ、より戦闘を有利にする戦い方だ,Yes, take advantage of this way of fighting in the coming battles
よし、まずはお手本を見せてやる！ よく見とけよ！,Okay, firstly let me show you a pattern. Look well!
この隙にバトンタッチで交代するんだ！,In this gap we take turns with baton pass!
弱点を突いて、 同じようにやってみろ！,Hit their weakness and try the same thing!
お前の観察能力なら、 きっと何か見えてくるはずだ！,With your observation skills we'll probably find something!
お前のというやつは… 見取り図がどれほど重要なのか知らないのか？,What kind of guy are you... Don't you know just how essential something like a floor plan is?
見取り図を手に入れれば、行ってない場所の 地形や情報が把握できる。,If you get a hold of a floor plan, you gain understanding of topography and information of places you haven't been to.
それだけじゃないぞ。 シャドウもウロウロしてるみたいだ。,That is not all there is to it. It seems that shadows are wandering aimlessly as well
洗濯するなら、たしかルブランの近くに コインランドリーがあったはずだが…,If we need laundry, there was certainly one near Leblanc, it was a coin laundry probably
鮮やかな勝利だ！,A brilliant victory!
本棚,A bookshelf
げ…なんだよ、この部屋… 鈴井の写真だらけじゃねえか！？,Wha...what is this room....It's nothing but pictures of Suzui !?
覚えてるか？ 柵を開ける仕掛けに付いてた「丸いくぼみ」だ！,Do you remember? There was a round cavity attached to to the device that opens the fence.
変な形の建物だね…？ 塔か何かかな…,The shape of this building is strange...? I wonder if that's a tower or something...
今の場所から考えると… 距離的には後半分ってとこだな,Judging from out current position... I'd say we still got half a distance left after.
気をつける、わがはいの予想通りなら あいつはちょっと厄介だぞ！,Be careful. If my prediction is correct, this thing is dangerous!
なんか、今までと雰囲気違うね…,Somehow the atmosphere is different from before...
その歪みが集まって生み出されるのがこれだ。 わがはいは「いし」って呼んでる。,And this distortion gathered and this thing got created by it. I call it [Will]
もらっておいて損はない…はずだ。,There's no harm in taking it...probably.
ていうか、なんか浮かんでる…何かこれ？,Speaking of that, what is that thing floating?
お宝は場所を突き止めただけじゃ奪えない。 「実体化」させてやんないと。,Locating the place of the treasure is not enough to be able to steal it. We need to make it materialize.
自分の欲望が、狙われてるお宝だって事を、 まず本人に自覚させなきゃいけない。,Because if your own lust was a treasure someone was after, first of all the person is question was got to be self-aware about that fact
けど、やってみる価値はあんな！,However it's worth to try!
これで「潜入ルート」は確保できたぜ。,And now we have secured the infiltration route!
ルート確保の目的は果たした。 どうする、今はもう引き上げるか？,We achieved our goal of securing the route. What do you want to do? Do you want to go back now?
更生プログラムの一環として、 「チャレンジバトル」を開催するぞ。,"As a part of your rehabilitaion, ""Challenge battle"" is now open."
結果次第では報酬も与えてやる。,Depending on the result, we can even give you rewards.
このバトルでは貴方の中にある 認知の仲間と共に戦うことを認めます。,As for these battles, you accept them inside your cognition and fight alongside your cognitive comrades.
引き継ぐ技能を選びなさい。,Select the abilities to pass over (to the new persona)
もうルートは確保済んでんだし、 予告状、とっとと出しちまわねーか？,We already finished securing the route. Let's just quickly send the notice letter (calling card).
お宝ルートは確保済みだ。 どうする、引き上げるか？,Route to treasure has been secured. What do you want to do? Get out of here?
あとは出現したお宝を奪うだけか。 いよいよだな。,After we'll make our appearance and steal the treasure. Finally!
諸君、今日はお疲れだ！,Everyone, today you did great!
少しでも問題起こしてみろ。 お前の人生、お先真っ暗だぞ。,If you try to cause even a slightest trouble, the life ahead of you will become pitch black.
常識の範囲でな。 キッチンの中にいじるな。,It's in the range of common knowledge. That you don't play inside the kitchen
そこの本棚も大変なことになってるし この際だから、全部片付けてしまおうぜ！,This bookshelf over there is in the terrible state as well. On this occasion, let's tidy all things up!
で、わがはいの予想通り、 お宝が有ったわけが…,Well, it's just like my prediction. The treasure was there!
けど、モテルためなら 我慢して頑張ってみっかな!,However in order to be popular you have to try be patient and work hard and all that, right!
本はそうだな… 確か、学校の図書室で借りれたよな？,About books. It's true that you can borrow them from the school library, right?
読書は苦手,Reading is not my favourite
午前,Morning
両方同じ長さ,Both are the same length
世界がどう見えるかは、 脳の認知次第、か…,So how you view the world depends on your brain cognition, huh...
鴨志田先生、めちゃくちゃ怒ってるらしいよ。,It seems that Kamoshida sensei is incredibly angry.
三島くんとあきらくん、あと不良の坂本が まとめて退学になるって。,Mishima-kun and Akira-kun and that delinquent Sakamoto have been decided to be expelled
そろそろ、リュウジとの関係が深まりそうだ…,It seems that bond with Ryuji will deepen soon
じゃ、わがはいはその辺を散歩してくるから 帰る時に声かけてくれ。,Well, I'm going to walk around that area, so tell me when you'll be planning to go back.
後悔してるのか？,Do you have regrets now?
よし！ 天井の棒を使って身体を鍛える,Nice! You can use the pole at the ceiling to train your body.
作戦の指揮を任せるからには 身体も鍛えてもらわないと困る。,I entrusted you with command of this operation and so if your body is not trained, it's gonna be trouble.
プロテインはトレーニングの効果を高めます。 効率的に鍛えたい場合に活用しましょう。,Protein increases the effects of training. Use it when you want to have an efficient training.
いや…利用するのは構わないんですが…,No, I don't mind you using it(library) but...
勉強…？ ああ、受験のためとか？,For studying...? Oh, for the sake of exams or something?
集中力と疲労回復が目的？ ばかなこと考える者だね。,The purpose is to have the ability to concentrate and recover from fatigue? You have come up with a pretty dumb thing.
私は貴方の受験のために「お薬」を提供。 代わりに貴方はモルモットになる取引。,I supply you with medicine for your exams. In return you become my guinea pig. That was the deal.
そうじろと関係を深められる、いい機会かもしれない…,There is a good chance I can deepen my bond with Soujiro
世の中にそんな馬鹿が増えねえように こっちで芽を潰してやってんだよ。,The amount of fools in this world probably doesn't increase. Because these kinds of sprouts are being crushed
そうじろとの距離が少し縮まるのを感じる,I feel that the distance between me and Soujiro has become shorter
…あの喫茶店のマスター、 協力者だったんじゃないの！？,The owner of that coffee shop. He was your ally, wasn't he!?
まだ時間はあるから、 焦って失敗するのだけは避けなきゃ。,Because there's still some time left, that'll prevent us from making rash mistakes.
今日は患者が少なくてラクね…,Having no patients today makes it so easy
あ、でも雨… 風邪の患者が増えたら面倒か…,Oh, but the rain... If there's gonna be more patients with cold, it'll will be a massive pain...
そう言えば、あの薬を飲むと また倒れるかもしれない…,Come to think of it...If I drink this medicine, I'm probably going to collapse again...
ガタガタ揺れてるぜ…,It's shaking with a clatter
学校も真面目に行ってるみたいだし、 その辺までなら夜も出歩いて構わないぞ。,It seems that you're taking your studying seriously too. I don't mind if you'll be roaming around in this neighborhood at night as well.
じゃ、あまいデザート追加するか？ ３００円だよ,Well, how a sweet desert as an addition? It's 300 yen
駅近くていい立地だねえ？ ねえ？,What a good place and beside the station..Right?
あっ、この匂い…懐かしいね！ あのカレーだろ？,Ah, that smell...nostalgic, isn't it! It's that curry, right?
んで、閉め作業は出来たか？ 今後はお前に任せるから、覚えろよ。,So, did you manage to close the door (finished the task of closing the door) From now on I'm going to rely on you. Remember that
じゃあ、今日こそ 焼きそばパンをゲットだな！,Well, today is the day for sure We'll get the yakisoba bun!
今の話もそうだけど 季節限定とか、世の中、色々あるよな…,About that talk just now. So in this world a lot of things are limited by season, huh...
上等だぜ。,Bring it on then!
同感だ,I have the same feelings
ちょっと、ホントに大丈夫…？ 正体バレたりしたら、これまでの苦労が…,Wait, is that ok, really...? If our identities are exposed, this is going to be troublesome...
お前ら、準備を怠んなよ？,You guys, don't leave your preparations undone, right?
泣いても笑っても明日が勝負だ。 準備は万全にしとけよ？,Whether we cry or laugh, it's victory or defeat tomorrow! Prepare perfectly.
抵抗できない生徒に歪んだ欲望をぶつける、 お前のクソさ加減は分かっている。,You project (hit with) your distorted lust onto students who cannot resist I know how shitty you are
まあいい。 どうせ貴様らは、じき退学だ,Whatever. It's time to expel you bastards anyway
今の鴨志田の反応… パレスに絶対影響が出てるはずだ！,This reaction from Kamoshida just now... It definitely has an impact on a palace!
行くぞ！油断するなよ！,Let's go! Don't be careless!
他に警備を回して ここが手薄になったのかもしれん。,They were probably moved to other place for defense and this place has become undermanned
王冠だけ狙おう,Let's aim for the crown
ここはすぐに崩壊する！,This place is going to collapse in the moment
目的地が消去されました。,The place of your destination was erased.
鴨志田にとっての欲望の源が、 それだったってことだ。,From Kamoshida's point of view that is the source of his lust.
でも、鴨志田の人格に、 相当な影響を与えたのは間違いない。,But I have no doubt that it reached Kamoshida's personality and had an appropriate effect on it.
豆は棚にあるのを適当に使え。 それぞれの特徴はそのうち教えてやる。,The beans are on the shelf. Use them properly. I will teach you about the features of every single one.
一緒に練習したほうが 効率いい気がすんだけど…,We better train together, I think it'll be efficient that way.
誰かから誘いあったんだろ？ 食べ終えたら、2階で返信してみるか？,From whom was that invitation? When you're finished eating we'll reply on the second floor, right?
ちょっと！ 不吉なこと言わないでよ,Wha...Don't say such sinister things!
絶妙なマズさと引き換えに お客様の体調を強化する,In exchange for superbly bad taste, your physical condition will strenthen.
購入する,Purchase(goods in a shop)
昔は全国目指してたのによ、 全然だめじゃねえか…,Even though I was aiming for nationals long ago, I can't keep up anymore...
俺ら…「元」陸上部の「居場所」だよ。,It's our's....former track and field club place now.
みんな、鴨志田の野郎には 我慢してたんだ。,Everyone had to endure that bastard Kamoshida
むちゃくちゃなこと言われても、 何時間も正座させられても、陸上部のためだって…,Even though you tell us these absurd things. How many times we were forced to kneel, all for the sake of track and field club...
地下鉄の復旧早くて 助かった…,It's nice that they restored the subway so quickly
でも助けられなかった 友達失格だよ,But I couldn't save her, what a failure of a friend I am
おい、あん殿が明らかに動揺してるぞ！ 男らしく助けてやれ！,Hey, it's obvious Ann-dono is disturbed! Be a man a help her!
鴨志田先生から「自宅謹慎する」って連絡が…,I heard from Kamoshida-sensei that he has been put on house arrest.
君たちの退学の話も、保留になるかもね… 良くは知らないけど…,The talk about expelling you was probably put on hold... I don't understand much either...
俺、この間、気になってた子と 話す機会があったんだけど…,So there was a time recently when I got a chance to talk to a girl I liked, but...
本で覚えたこと話したら すげえ盛り上がったんだよ！,But when we started to talk about a book I remembered, she got really excited!
…偶然うまくいったからって 浮かれている場合じゃないぞ。,There's nothing to be celebrating. It was just because of a lucky coincidence
いいか？知識だけじゃダメだ。 立ち回りの器用さも大事だぞ。,Listen, knowledge alone is a no go. Agility is vital as well when you get into fights.
相手を受け入れる優しさはもちろん、 時にはビシッと言える度胸もいる…,Of course you need kindness to accept others . Then there's guts for times when you want to speak sharply...
人を引きつける魅力だって必要だ。,Charm is necessary for attracting people to you.
